word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you_.started,text_3.started,thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.03343850001692772,0.04317819996504113,1.0151274999952875,,,,,,,,,,,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,red,I,r,0,0,0,r,1,1.784120200027246,None,0,0,0,2,1.0427976999781094,,,,,1.0353731999639422,1.0427976999781094,1.5100326999672689,1.5100326999672689,1.5100326999672689,3.3298800999764353,r,1,1.784120200027246,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,red,C,r,1,1,0,r,1,0.6686716999975033,None,0,1,1,0,3.342487699992489,,,,,3.3356993999914266,3.342487699992489,3.8434565999777988,3.8434565999777988,3.8434565999777988,4.515391299966723,r,1,0.6686716999975033,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,blue,I,b,2,2,0,b,1,0.4695559000247158,None,0,2,2,1,4.527258699992672,,,,,4.5160816999850795,4.527258699992672,5.027158299984876,5.027158299984876,5.027158299984876,5.4989170000189915,b,1,0.4695559000247158,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.4937625000020489,None,0,3,3,3,5.510236800007988,,,,,5.5027925000176765,5.510236800007988,6.01032539998414,6.01032539998414,6.01032539998414,6.514399699983187,b,1,0.4937625000020489,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,red,C,r,4,0,1,r,1,0.4285080999834463,None,1,0,4,0,6.527503799996339,,,,,6.518403799971566,6.527503799996339,7.02725579997059,7.02725579997059,7.02725579997059,7.46431529999245,r,1,0.4285080999834463,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.4963606999954209,None,1,1,5,3,7.476547600002959,,,,,7.466897199978121,7.476547600002959,7.976867999997921,7.976867999997921,7.976867999997921,8.482454499986488,b,1,0.4963606999954209,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,red,I,r,6,2,1,r,1,0.7063714999821968,None,1,2,6,2,8.493262999982107,,,,,8.482982799992897,8.493262999982107,8.99308679997921,8.99308679997921,8.99308679997921,9.715034900000319,r,1,0.7063714999821968,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,blue,I,b,7,3,1,b,1,0.40811280003981665,None,1,3,7,1,9.726711499970406,,,,,9.719202300009783,9.726711499970406,10.227344999962952,10.227344999962952,10.227344999962952,10.649697799992282,b,1,0.40811280003981665,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,red,I,r,8,0,2,r,1,0.49319059995468706,None,2,0,8,2,10.659934700001031,,,,,10.654463400016539,10.659934700001031,11.160109999997076,11.160109999997076,11.160109999997076,11.663362099963706,r,1,0.49319059995468706,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,blue,I,b,9,1,2,b,1,0.8540692999958992,None,2,1,9,1,11.676678100018762,,,,,11.66625169996405,11.676678100018762,12.176724899967667,12.176724899967667,12.176724899967667,13.046507799997926,b,1,0.8540692999958992,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,red,C,r,10,2,2,r,1,0.5199532000115141,None,2,2,10,0,13.060076499998104,,,,,13.046843999996781,13.060076499998104,13.559675599972252,13.559675599972252,13.559675599972252,14.080404600012116,r,1,0.5199532000115141,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,blue,C,b,11,3,2,b,1,0.5769706999999471,None,2,3,11,3,14.093143399979454,,,,,14.083230899996124,14.093143399979454,14.593674200004898,14.593674200004898,14.593674200004898,15.185054800007492,b,1,0.5769706999999471,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,red,C,r,12,0,3,r,1,0.615299099998083,None,3,0,12,0,15.210064899991266,,,,,15.189503100002185,15.210064899991266,15.693960200005677,15.693960200005677,15.693960200005677,16.31503260001773,r,1,0.615299099998083,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,blue,I,b,13,1,3,b,1,0.710623899998609,None,3,1,13,1,16.326224999967963,,,,,16.31579620001139,16.326224999967963,16.826829399971757,16.826829399971757,16.826829399971757,17.5498651000089,b,1,0.710623899998609,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,red,I,r,14,2,3,r,1,1.0763846000190824,None,3,2,14,2,17.560550900001545,,,,,17.554360100009944,17.560550900001545,18.059521799965296,18.059521799965296,18.059521799965296,19.146996299969032,r,1,1.0763846000190824,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,blue,C,b,15,3,3,b,1,0.642536100000143,None,3,3,15,3,19.159990200016182,,,,,19.147610699990764,19.159990200016182,19.66015289997449,19.66015289997449,19.66015289997449,20.315517899987753,b,1,0.642536100000143,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,red,I,r,16,0,4,r,1,0.5897180999745615,None,4,0,16,2,20.32653229997959,,,,,20.316279499966186,20.32653229997959,20.826831899990793,20.826831899990793,20.826831899990793,21.431862699973863,r,1,0.5897180999745615,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,red,C,r,17,1,4,r,1,0.6428632999886759,None,4,1,17,0,21.445165399985854,,,,,21.43616609997116,21.445165399985854,21.943283599975985,21.943283599975985,21.943283599975985,22.595274499966763,r,1,0.6428632999886759,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
RED,blue,I,b,18,2,4,b,1,0.4758931999676861,None,4,2,18,1,22.609494799980894,,,,,22.595653099997435,22.609494799980894,23.10988709999947,23.10988709999947,23.10988709999947,23.596738099993672,b,1,0.4758931999676861,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
BLUE,blue,C,b,19,3,4,b,1,0.4195237999665551,None,4,3,19,3,23.60976959997788,,,,,23.599732099974062,23.60976959997788,24.1094168999698,24.1094168999698,24.1094168999698,24.532055499963462,b,1,0.4195237999665551,None,,,,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.53229950001696,24.54418159998022,25.54557069996372,1,001,2025-08-26_09h59.56.015,Stroop task,,2025.1.1,59.7135778473808,2025-08-26 10h00.02.352223 +0530,
