prime,prime_valence,target,target_valence,congruency,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,prime_text.started,fixation.stopped,prime_text.stopped,mask_text.started,mask_text.stopped,targer_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
kind,positive,warm,positive,congruent,right,0,0,0,right,1,9.15831700002309,None,0,0,0,2,0.02093930001137778,,0.017702700046356767,0.02093930001137778,0.5026264000334777,0.5359214000054635,0.602692200045567,0.602692200045567,0.7026450000121258,0.7026450000121258,0.7026450000121258,9.87729010003386,right,1,9.15831700002309,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
angry,negative,pain,negative,congruent,right,1,1,0,right,1,0.2004490999970585,None,0,1,1,5,9.887538600014523,,9.884994300024118,9.887538600014523,10.385613700025715,10.402355400030501,10.48580290004611,10.48580290004611,10.585624100000132,10.585624100000132,10.585624100000132,10.803140000032727,right,1,0.2004490999970585,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
fear,negative,joy,positive,incongruent,left,2,2,0,right,0,4.678459899965674,None,0,2,2,15,10.819047400029376,,10.81046220002463,10.819047400029376,11.30231780000031,11.318850100040436,11.402284000010695,11.402284000010695,11.502223499992397,11.502223499992397,11.502223499992397,16.187176100036595,right,0,4.678459899965674,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
peace,positive,lonely,negative,incongruent,left,3,3,0,left,1,1.9525680000078864,None,0,3,3,14,16.202961200033315,,16.199306400027126,16.202961200033315,16.702641999989282,16.702641999989282,16.80239160003839,16.80239160003839,16.90258970001014,16.90258970001014,16.90258970001014,18.87015309999697,left,1,1.9525680000078864,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
fear,negative,danger,negative,congruent,right,4,4,0,left,0,0.9169713000301272,None,0,4,4,8,18.885677100042813,,18.880166199989617,18.885677100042813,19.385661600041203,19.385661600041203,19.486005300015677,19.486005300015677,19.58562140003778,19.58562140003778,19.58562140003778,20.519767299992964,left,0,0.9169713000301272,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
love,positive,war,negative,incongruent,left,5,5,0,left,1,0.8010265000048093,None,0,5,5,11,20.535739600018132,,20.52652090002084,20.535739600018132,21.01964880002197,21.03559809998842,21.11916950001614,21.11916950001614,21.219380700029433,21.219380700029433,21.219380700029433,22.0365834000404,left,1,0.8010265000048093,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
disgust,negative,sweet,positive,incongruent,left,6,6,0,right,0,0.8579460000037216,None,0,6,6,16,22.052338400040753,,22.04800480004633,22.052338400040753,22.535879800037947,22.552319600014016,22.635857000015676,22.652354400022887,22.752559799992014,22.73547030001646,22.73547030001646,23.603297199995723,right,0,0.8579460000037216,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
warm,positive,rotten,negative,incongruent,left,7,7,0,left,1,0.855347900011111,None,0,7,7,13,23.61898480000673,,23.612184200028423,23.61898480000673,24.102667800034396,24.119091200002003,24.202496600046288,24.21926069998881,24.3190450000111,24.3190450000111,24.3190450000111,25.186454400012735,left,1,0.855347900011111,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
smile,positive,peace,positive,congruent,right,8,8,0,right,1,0.7277420999598689,None,0,8,8,1,25.202328499988653,,25.196587300044484,25.202328499988653,25.685785700043198,25.702604299993254,25.78578410000773,25.78578410000773,25.88596010004403,25.88596010004403,25.88596010004403,26.6202498000348,right,1,0.7277420999598689,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
danger,negative,warm,positive,incongruent,left,9,9,0,right,0,0.9243461000151001,None,0,9,9,19,26.635851400031243,,26.629556500003673,26.635851400031243,27.13517760002287,27.13517760002287,27.2349305000389,27.2349305000389,27.335283200023696,27.335283200023696,27.335283200023696,28.270038900023792,right,0,0.9243461000151001,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
happy,positive,danger,negative,incongruent,left,10,10,0,left,1,0.7343542999587953,None,0,10,10,10,28.285631100006867,,28.277666500012856,28.285631100006867,28.769252400030382,28.785600000002887,28.869646900042426,28.88562820001971,28.985829000012018,28.969148300006054,28.969148300006054,29.719286100007594,left,1,0.7343542999587953,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
calm,positive,flower,positive,congruent,right,11,11,0,right,1,0.8362376999575645,None,0,11,11,4,29.73557980003534,,29.724366400041617,29.73557980003534,30.219276799994987,30.2355116000399,30.319319600006565,30.319319600006565,30.419183899997734,30.419183899997734,30.419183899997734,31.269873500044923,right,1,0.8362376999575645,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
happy,positive,joy,positive,congruent,right,12,12,0,right,1,0.6203543999581598,None,0,12,12,0,31.286220700014383,,31.279706900008023,31.286220700014383,31.7691530000302,31.785641100024804,31.869069900014438,31.869069900014438,31.968801100039855,31.968801100039855,31.968801100039855,32.60296720004408,right,1,0.6203543999581598,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
smile,positive,pain,negative,incongruent,left,13,13,0,left,1,1.371094100002665,None,0,13,13,12,32.618960199994035,,32.61202510003932,32.618960199994035,33.10219370003324,33.11909910000395,33.20254860003479,33.20254860003479,33.30244430003222,33.30244430003222,33.30244430003222,34.686583500006236,left,1,1.371094100002665,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
hatred,negative,peace,positive,incongruent,left,14,14,0,right,0,0.732593699998688,None,0,14,14,18,34.70197019999614,,34.698122500034515,34.70197019999614,35.18516350002028,35.202434900042135,35.28566640004283,35.28566640004283,35.38574220001465,35.38574220001465,35.38574220001465,36.11984330002451,right,0,0.732593699998688,None,exp-4,001,2025-11-24_17h35.13.419,solo project,,2025.1.1,59.99890801854398,2025-11-24 17h35.22.999856 +0530,
